"name","id","tags","state_breakdown","waste_percentage","machine_type","coal_overhead","petroleum_overhead","natural_gas_overhead","nuclear_overhead","solar/pv_overhead","biomass_overhead","wind_overhead","hydroelectric_overhead","geothermal_overhead"
"structural steel and precast concrete contractors",264,"{""housing"":0.5,""stuff"":0.25,""services"":0.25}","",0.42,"",0,0,0,0,0,0,0,0,0
"framing contractors",265,"{""housing"":0.5,""stuff"":0.25,""services"":0.25}","",0.42,"",0,0,0,0,0,0,0,0,0
"masonry contractors",266,"{""housing"":0.5,""stuff"":0.25,""services"":0.25}","",0.42,"",0,0,0,0,0,0,0,0,0
"glass and glazing contractors",267,"{""housing"":0.5,""stuff"":0.25,""services"":0.25}","",0.42,"",0,0,0,0,0,0,0,0,0
"roofing contractors",268,"{""housing"":0.5,""stuff"":0.25,""services"":0.25}","",0.42,"",0,0,0,0,0,0,0,0,0
"siding contractors",269,"{""housing"":0.5,""stuff"":0.25,""services"":0.25}","",0.42,"",0,0,0,0,0,0,0,0,0
"other foundation, structure, and building exterior contractors",270,"{""housing"":0.5,""stuff"":0.25,""services"":0.25}","",0.42,"",0,0,0,0,0,0,0,0,0
"electrical contractors and other wiring installation contractors",271,"{""housing"":0.5,""stuff"":0.25,""services"":0.25}","",0.42,"",0,0,0,0,0,0,0,0,0
"plumbing, heating, and air-conditioning contractors",272,"{""housing"":0.5,""stuff"":0.25,""services"":0.25}","",0.42,"",0,0,0,0,0,0,0,0,0
"other building equipment contractors",273,"{""housing"":0.5,""stuff"":0.25,""services"":0.25}","",0.42,"",0,0,0,0,0,0,0,0,0
"drywall and insulation contractors",274,"{""housing"":0.5,""stuff"":0.25,""services"":0.25}","",0.42,"",0,0,0,0,0,0,0,0,0
"painting and wall covering contractors",275,"{""housing"":0.5,""stuff"":0.25,""services"":0.25}","",0.42,"",0,0,0,0,0,0,0,0,0
"flooring contractors",276,"{""housing"":0.5,""stuff"":0.25,""services"":0.25}","",0.42,"",0,0,0,0,0,0,0,0,0
"tile and terrazzo contractors",277,"{""housing"":0.5,""stuff"":0.25,""services"":0.25}","",0.42,"",0,0,0,0,0,0,0,0,0
"finish carpentry contractors",278,"{""housing"":0.5,""stuff"":0.25,""services"":0.25}","",0.42,"",0,0,0,0,0,0,0,0,0
"other building finishing contractors",279,"{""housing"":0.5,""stuff"":0.25,""services"":0.25}","",0.42,"",0,0,0,0,0,0,0,0,0
"site preparation contractors",280,"{""housing"":0.5,""stuff"":0.25,""services"":0.25}","",0.42,"",0,0,0,0,0,0,0,0,0
"all other specialty trade contractors",281,"{""housing"":0.5,""stuff"":0.25,""services"":0.25}","",0.42,"",0,0,0,0,0,0,0,0,0
"government sector",294,"{}","",0,"",0,0,0,0,0,0,0,0,0
"national aeronautics and space administration",295,"{}","",0.41,"",0,0,0,0,0,0,0,0,0
"other u.s. government agencies",296,"{}","",0.41,"",0,0,0,0,0,0,0,0,0
"department of agriculture",297,"{}","",0.41,"",0,0,0,0,0,0,0,0,0
"department of defense",298,"{}","",0,"",0,0,0,0,0,0,0,0,0
"department of energy",299,"{}","",0.41,"",0,0,0,0,0,0,0,0,0
"department of health and human services",300,"{}","",0.41,"",0,0,0,0,0,0,0,0,0
"department of justice",301,"{}","",0.41,"",0,0,0,0,0,0,0,0,0
"department of transportation",302,"{}","",0.41,"",0,0,0,0,0,0,0,0,0
"department of veterans affairs",303,"{}","",0.41,"",0,0,0,0,0,0,0,0,0
"department of the interior",304,"{}","",0.41,"",0,0,0,0,0,0,0,0,0
"general services administration",305,"{}","",0.41,"",0,0,0,0,0,0,0,0,0
"postal service",306,"{""transport-stuff"":0}","",0.41,"",0,0,0,0,0,0,0,0,0
"dod-electricity",307,"{}","",0.41,"",0,0,0,0,0,0,0,0,0
"dod-petroleum",308,"{}","",0.41,"",0,0,0,0,0,0,0,0,0
"dod-natural gas",309,"{}","",0.41,"",0,0,0,0,0,0,0,0,0
"dod-coal",310,"{}","",0.41,"",0,0,0,0,0,0,0,0,0
"dod-renewables",311,"{}","",0.41,"",0,0,0,0,0,0,0,0,0
"dod-other",312,"{}","",0.41,"",0,0,0,0,0,0,0,0,0
"auto gas",313,"{}","",0.79,"",0,0,0,0,0,0,0,0,0
"dist-diesel",314,"{}","",0.79,"",0,0,0,0,0,0,0,0,0
"aviation gas",315,"{}","",0.5,"",0,0,0,0,0,0,0,0,0
"jet fuel",316,"{}","",0.5,"",0,0,0,0,0,0,0,0,0
"embodied energy of net imports",317,"{}","",0.41,"",0,0,0,0,0,0,0,0,0
"electricity used in generation",319,"{}","",1,"",0,0,0,0,0,0,0,0,0
"transmission and distribution losses",320,"{}","",1,"",0,0,0,0,0,0,0,0,0
"produced and distributed petroleum",321,"{}","",0,"",0,0,0,0,0,0,0,0,0
"produced and distributed natural gas",322,"{}","",0,"",0,0,0,0,0,0,0,0,0
"produced and distributed coal",323,"{}","",0,"",0,0,0,0,0,0,0,0,0
"produced and distributed biomass",324,"{}","",0,"",0,0,0,0,0,0,0,0,0
"produced and distributed solar/pv",325,"{}","",0,"",0,0,0,0,0,0,0,0,0
"produced and distributed geothermal",326,"{}","",0,"",0,0,0,0,0,0,0,0,0
"produced and distributed hydroelectric",327,"{}","",0,"",0,0,0,0,0,0,0,0,0
"produced and distributed wind",328,"{}","",0,"",0,0,0,0,0,0,0,0,0
"residential electricity loss",329,"{}","",1,"",0,0,0,0,0,0,0,0,0
"commercial electricity loss",330,"{}","",1,"",0,0,0,0,0,0,0,0,0
"industrial electricity loss",331,"{}","",1,"",0,0,0,0,0,0,0,0,0
"transportation electricity loss",332,"{}","",1,"",0,0,0,0,0,0,0,0,0
"government electricity loss",333,"{}","",1,"",0,0,0,0,0,0,0,0,0
"wastewater treatment",334,"{""water"":0,""processing"":0,""water-treatment"":0}","",0.4,"","","","","","","","","",""
"water treatment",335,"{""water"":0,""processing"":0,""water-treatment"":0}","",0,"","","","","","","","","",""
"municipal lighting",336,"{""lighting"":0}","",0,"","","","","","","","","",""
"traffic lighting",337,"{""lighting"":0,""traffic-lighting"":0}","",0,"","","","","","","","","",""
"traffic signals",338,"{""lighting"":0,""traffic-lighting"":0}","",0.09,"","","","","","","","","",""
"turn arrows",339,"{""lighting"":0,""traffic-lighting"":0}","",1,"","","","","","","","","",""
"pedestrian signals",340,"{""lighting"":0,""traffic-lighting"":0}","",0.47,"","","","","","","","","",""
"airport lighting",341,"{""lighting"":0,""airport-lighting"":0}","",0,"","","","","","","","","",""
"approach systems",342,"{""lighting"":0,""airport-lighting"":0}","",0.99,"","","","","","","","","",""
"touchdown lights",343,"{""lighting"":0,""airport-lighting"":0}","",0.82,"","","","","","","","","",""
"centerline lights",344,"{""lighting"":0,""airport-lighting"":0}","",0.87,"","","","","","","","","",""
"taxiway/runway edge lights",345,"{""lighting"":0,""airport-lighting"":0}","",0.91,"","","","","","","","","",""
"other municipal lighting",346,"{""lighting"":0,""other-lighting"":0}","",0,"","","","","","","","","",""
"billboards",347,"{""lighting"":0,""other-lighting"":0}","",0.93,"","","","","","","","","",""
"parking lots",348,"{""lighting"":0,""other-lighting"":0}","",0.04,"","","","","","","","","",""
